,brand,nod,location,model,varient,fuel,year,transmission,km,price
243,Mahindra,1st,"Sangameshwar, Malegaon, Maharashtra",Bolero Power Plus,ZLX,Diesel,2017,Manual,"51,000 km","₹ 8,30,000"
244,Jaguar,1st,"Sector 19D, Chandigarh, Chandigarh",XF,2.2 Litre Luxury,Diesel,2014,Automatic,"65,000 km","₹ 17,95,000"
245,Maruti Suzuki,1st,"Shastri Nagar, Ahmedabad, Gujarat",Alto 800,LXI,Petrol,2018,Manual,"45,000 km","₹ 3,11,000"
246,Mercedes-Benz,1st,"Pitampura, Delhi, Delhi",CLA,Others,Petrol,2016,Automatic,"40,000 km","₹ 21,00,000"
247,Nissan,1st,"Andheri West, Mumbai, Maharashtra",Terrano,2013-2017 XE 85 PS,Diesel,2016,Manual,"32,000 km","₹ 6,45,000"
248,Hyundai,1st,"Andheri West, Mumbai, Maharashtra",Verna,CRDi 1.6 AT SX Plus,Diesel,2018,Automatic,"40,000 km","₹ 11,55,000"
249,BMW,1st,"Andheri West, Mumbai, Maharashtra",3 Series,320i Luxury Line,Petrol,2017,Automatic,"17,000 km","₹ 24,00,000"
250,Mahindra,1st,"Andheri West, Mumbai, Maharashtra",XUV500,W11 Option AT,Diesel,2018,Automatic,"38,000 km","₹ 16,75,000"
251,Maruti Suzuki,1st,"Andheri West, Mumbai, Maharashtra",Swift,LDI,Diesel,2013,Manual,"39,000 km","₹ 3,95,000"
252,Ford,1st,"Andheri West, Mumbai, Maharashtra",Ecosport,1.5 Diesel Titanium,Diesel,2016,Manual,"42,000 km","₹ 7,25,000"
253,Hyundai,1st,"Varacha, Surat, Gujarat",i20,2012-2014 Sportz 1.4 CRDi,Diesel,2014,Manual,"60,250 km","₹ 4,40,000"
255,Maruti Suzuki,1st,"Preet Vihar, Delhi, Delhi",Swift,VXI,Petrol,2013,Manual,"51,000 km","₹ 3,75,000"
256,Maruti Suzuki,1st,"Shuhama Alastang, Srinagar, Jammu & Kashmir",Eeco,5 STR WITH A/C+HTR,Petrol,2021,Automatic,"3,500 km","₹ 5,00,000"
257,Mahindra,1st,"Vikram Enclave, Ghaziabad, Uttar Pradesh",KUV 100,2016-2017 mFALCON D75 K2,CNG & Hybrids,2017,Manual,"35,000 km","₹ 3,25,000"
258,Maruti Suzuki,2nd,"Vivek Vihar Phase 2, Delhi, Delhi",Alto 800,LXI,Petrol,2015,Manual,"33,000 km","₹ 2,35,000"
259,Toyota,1st,"Vivek Vihar Phase 2, Delhi, Delhi",Etios,1.5 VX,Petrol,2016,Manual,"43,000 km","₹ 4,85,000"
260,Volkswagen,1st,"Ukkadam, Coimbatore, Tamil Nadu",Tiguan,2.0 TDI Highline,Diesel,2018,Automatic,"60,500 km","₹ 26,95,000"
261,Toyota,1st,"Anna Nagar, Chennai, Tamil Nadu",Etios,2010-2012 VX,Petrol,2012,Manual,"9,600 km","₹ 4,90,000"
262,Maruti Suzuki,1st,"Ghodbunder, Mumbai, Maharashtra",Baleno,1.2 Alpha,Petrol,2016,Manual,"50,000 km","₹ 5,75,000"
263,Mahindra,1st,"Kanhai, Gurgaon, Haryana",XUV500,W8 4WD,Diesel,2014,Manual,"67,000 km","₹ 6,40,000"
264,Honda,1st,"Babusapalaya, Bengaluru, Karnataka",City,i-VTEC V,Petrol,2015,Manual,"75,000 km","₹ 7,25,000"
265,Hyundai,1st,"Preet Vihar, Delhi, Delhi",Creta,1.6 SX Automatic,Petrol,2019,Automatic,"4,500 km","₹ 15,00,000"
266,Maruti Suzuki,1st,"T Nagar RK Puram, Chennai, Tamil Nadu",Baleno,1.3 Alpha,Petrol,2018,Manual,"25,000 km","₹ 7,25,000"
267,Maruti Suzuki,1st,"Kasarwadi, Pune, Maharashtra",Swift,VXI,CNG & Hybrids,2010,Manual,"80,000 km","₹ 3,10,000"
268,Mahindra,1st,"Sangameshwar, Malegaon, Maharashtra",Bolero Power Plus,ZLX,Diesel,2017,Manual,"51,000 km","₹ 8,30,000"
269,Jaguar,1st,"Sector 19D, Chandigarh, Chandigarh",XF,2.2 Litre Luxury,Diesel,2014,Automatic,"65,000 km","₹ 17,95,000"
270,Maruti Suzuki,1st,"Shastri Nagar, Ahmedabad, Gujarat",Alto 800,LXI,Petrol,2018,Manual,"45,000 km","₹ 3,11,000"
272,Nissan,1st,"Andheri West, Mumbai, Maharashtra",Terrano,2013-2017 XE 85 PS,Diesel,2016,Manual,"32,000 km","₹ 6,45,000"
273,Hyundai,1st,"Andheri West, Mumbai, Maharashtra",Verna,CRDi 1.6 AT SX Plus,Diesel,2018,Automatic,"40,000 km","₹ 11,55,000"
274,BMW,1st,"Andheri West, Mumbai, Maharashtra",3 Series,320i Luxury Line,Petrol,2017,Automatic,"17,000 km","₹ 24,00,000"
275,Mahindra,1st,"Andheri West, Mumbai, Maharashtra",XUV500,W11 Option AT,Diesel,2018,Automatic,"38,000 km","₹ 16,75,000"
276,Maruti Suzuki,1st,"Andheri West, Mumbai, Maharashtra",Swift,LDI,Diesel,2013,Manual,"39,000 km","₹ 3,95,000"
277,Ford,1st,"Andheri West, Mumbai, Maharashtra",Ecosport,1.5 Diesel Titanium,Diesel,2016,Manual,"42,000 km","₹ 7,25,000"
278,Hyundai,1st,"Varacha, Surat, Gujarat",i20,2012-2014 Sportz 1.4 CRDi,Diesel,2014,Manual,"60,250 km","₹ 4,40,000"
279,Ford,1st,"Andheri West, Mumbai, Maharashtra",Ecosport,1.5 Petrol Trend,Petrol,2017,Manual,"13,000 km","₹ 6,95,000"
282,Maruti Suzuki,2nd,"Pallimukku, Kollam, Kerala",Swift Dzire,VXI,Petrol,2015,Manual,"52,000 km","₹ 5,25,000"
283,Volkswagen,1st,"Rajouri Garden, Delhi, Delhi",Polo,1.2 MPI Highline,Petrol,2010,Manual,"52,000 km","₹ 2,40,000"
285,Skoda,1st,"Adgaon Naka, Nashik, Maharashtra",Rapid,Ambition 1.6 TDI CR Manual Plus,Petrol,2014,Manual,"46,000 km","₹ 4,75,000"
286,Maruti Suzuki,3rd,"Agrahara Dasarahalli, Bengaluru, Karnataka",Wagon R,LXI,Petrol,2008,Manual,"68,000 km","₹ 1,90,000"
287,Maruti Suzuki,3rd,"Agrahara Dasarahalli, Bengaluru, Karnataka",Omni,5 Seater,Petrol,2004,Manual,"62,000 km","₹ 1,35,000"
288,Mahindra,1st,"Dombivli, Thane, Maharashtra",XUV500,W8 2WD,Diesel,2012,Manual,"88,000 km","₹ 6,16,000"
289,Hyundai,1st,"Andheri West, Mumbai, Maharashtra",Creta,1.6 CRDi SX,Diesel,2017,Manual,"63,900 km","₹ 10,90,000"
290,Maruti Suzuki,1st,"Andheri West, Mumbai, Maharashtra",Ertiga,VXI,Petrol,2015,Manual,"46,000 km","₹ 6,15,000"
291,Maruti Suzuki,1st,"Andheri West, Mumbai, Maharashtra",Ertiga,2012-2015 VDI,Diesel,2014,Manual,"42,500 km","₹ 6,50,000"
292,Chevrolet,4+,"Rendal, Hupari, Maharashtra",Tavera,2003-2007 B2-10 seats BSII,Diesel,2005,Manual,"300,000 km","₹ 1,60,000"
293,Tata,1st,"Malukwali, Najibabad, Uttar Pradesh",Indigo Ecs,eCS GLS,CNG & Hybrids,2016,Manual,"76,000 km","₹ 90,000"
294,Ford,2nd,"Colva Circle, Colva, Goa",Ecosport,1.0 Ecoboost Titanium Plus,Petrol,2014,Manual,"78,000 km","₹ 3,70,000"
295,Mahindra,1st,"Khanna, Kolkata, West Bengal",Scorpio,2009-2014 SLE BSIV,Diesel,2012,Manual,"56,000 km","₹ 4,70,000"
296,Hyundai,1st,"Golconda Fort Area, Hyderabad, Telangana",Accent,GLE,Petrol,2000,Manual,"96,057 km","₹ 35,000"
297,Maruti Suzuki,2nd,"Kotthipura, Ramanagara, Karnataka",Swift,2004-2010 VXi BSIV,Petrol,2008,Manual,"80,100 km","₹ 2,65,000"
298,Skoda,1st,"Picket Vijaya Nagar Colony, Secunderabad, Telangana",Rapid,Elegance 1.6 TDI CR Manual,Diesel,2014,Manual,"63,000 km","₹ 5,80,000"
299,Hyundai,4th,"Dasappa Garden, Tumakuru, Karnataka",EON,D-Lite + LPG,CNG & Hybrids,2013,Manual,"92,000 km","₹ 2,99,999"
301,Jaguar,2nd,"Mulund West, Mumbai, Maharashtra",F-Pace,Prestige 2.0 AWD,Diesel,2018,Automatic,"20,000 km","₹ 45,00,000"
302,Maruti Suzuki,1st,"Chinar Forune City, Bhopal, Madhya Pradesh",Alto K10,VXI,Petrol,2012,Manual,"56,000 km","₹ 2,45,000"
303,Toyota,4th,"Ambe, Chikodi, Karnataka",Innova,2.5 V 8 STR,Diesel,2007,Automatic,"160,000 km","₹ 4,50,000"
305,Maruti Suzuki,2nd,"Bhan Singh Colony, Faridkot, Punjab",Swift,2011-2014 VDI,Diesel,2014,Manual,"58,700 km","₹ 4,75,000"
306,Hyundai,1st,"Pimpri Chinchwad, Pune, Maharashtra",Creta,1.6 CRDi AT SX Plus,Diesel,2015,Automatic,"78,000 km","₹ 9,74,999"
307,Honda,2nd,"Vattepally, Hyderabad, Telangana",CR-V,2007-2012 2.4L 4WD AT,Petrol,2007,Manual,"66,000 km","₹ 4,50,000"
308,Renault,1st,"Nalasopara West, Mumbai, Maharashtra",Lodgy,85PS RxE,Diesel,2018,Manual,"160,000 km","₹ 2,20,000"
309,Ford,2nd,"Rajajipuram, Lucknow, Uttar Pradesh",Figo,2010-2012 Diesel Titanium,Diesel,2013,Manual,"66,000 km","₹ 2,20,000"
310,Tata,1st,"Mochiyon Ka Mohalla, Ramgarh Sikar District, Rajasthan",Indica V2,DLS BSIII,Diesel,2005,Manual,"125,230 km","₹ 95,000"
314,Kia,1st,"Santacruz West, Mumbai, Maharashtra",Seltos,GTX Plus DCT,Petrol,2020,Automatic,"6,800 km","₹ 19,99,999"
315,Tata,2nd,"Topsia, Kolkata, West Bengal",Others,Others,Diesel,2011,Automatic,"172,000 km","₹ 1,80,000"
316,Hyundai,2nd,"Daanavaipeta, Rajahmundry, Andhra Pradesh",i20,2012-2014 Sportz 1.4 CRDi,Diesel,2012,Manual,"100,000 km","₹ 4,00,000"
317,Maruti Suzuki,1st,"Teachers Colony, Hyderabad, Telangana",800,Std,Petrol,1999,Manual,"30,000 km","₹ 47,000"
320,Mahindra,1st,"GPT Colony, Kakinada, Andhra Pradesh",Bolero,Others,Diesel,2020,Manual,"7,011 km","₹ 10,00,000"
322,Volkswagen,2nd,"Rajaji Nagar, Bengaluru, Karnataka",Vento,1.6 Highline,Diesel,2011,Manual,"88,701 km","₹ 4,10,000"
326,Honda,1st,"Viman Nagar, Pune, Maharashtra",Amaze,2013-2016 EX i-Dtech,Diesel,2013,Manual,"92,000 km","₹ 3,90,000"
327,Maruti Suzuki,4th,"Poojappura, Thiruvananthapuram, Kerala",Wagon R,1999-2006 VXI,Petrol,2001,Manual,"90,000 km","₹ 96,000"
330,Volkswagen,2nd,"Viman Nagar, Pune, Maharashtra",Polo,1.2 MPI Comfortline,Petrol,2011,Manual,"57,000 km","₹ 2,50,000"
331,Chevrolet,2nd,"Chelerimukk, Kannadiparamba, Kerala",Beat,Diesel LS,Diesel,2012,Manual,"95,000 km","₹ 1,87,000"
333,Maruti Suzuki,1st,"Banamali Part 1, Karimganj, Assam",Omni,LPG BS-IV,Petrol,2015,Automatic,"40,000 km","₹ 2,00,000"
335,Maruti Suzuki,3rd,"Ramesh Wadi, Badlapur, Maharashtra",Swift,2011-2014 Star VDI,CNG & Hybrids,2012,Manual,"99,000 km","₹ 2,75,000"
336,Mahindra,1st,"Fatima Nagar, Pune, Maharashtra",Scorpio,S10,Diesel,2016,Manual,"39,000 km","₹ 13,75,000"
337,Maruti Suzuki,2nd,"Laxshmi Nagar, Rajkot, Gujarat",Alto,2000-2005 LX,Petrol,2011,Manual,"88,000 km","₹ 15,00,000"
338,Maruti Suzuki,2nd,"Nandur Naka, Nashik, Maharashtra",Swift,2011-2014 Star VDI,Diesel,2011,Manual,"86,000 km","₹ 3,80,000"
339,Hyundai,1st,"RS Puram, Coimbatore, Tamil Nadu",Santro,Sportz,Petrol,2019,Manual,"5,700 km","₹ 5,25,000"
340,Audi,1st,"Krishi Mahavidyalaya, Pune, Maharashtra",A7,Sportback 3.0 TDI quattro,Diesel,2012,Automatic,"55,000 km","₹ 18,00,000"
341,Chevrolet,1st,"Anand Pura, Vijapur, Gujarat",Tavera,Tavera Elite LS - B3 10-Seater - BS III,Diesel,2015,Manual,"60,250 km","₹ 5,25,000"
342,Mahindra,1st,"Civil Lines, Bareilly, Uttar Pradesh",Scorpio,2009-2014 VLX 4WD AIRBAG BSIV,Diesel,2014,Manual,"82,000 km","₹ 6,10,000"
343,Mahindra,2nd,"Laxmi Nagar, Delhi, Delhi",XUV500,2011-2015 W8-2WD,Diesel,2013,Manual,"15,000 km","₹ 4,99,999"
345,Ford,1st,"Vasant Kunj, Delhi, Delhi",Endeavour,3.2 Titanium AT 4X4,Diesel,2017,Automatic,"15,529 km","₹ 32,50,000"
346,Maruti Suzuki,2nd,"Sikandarpur, Rath, Uttar Pradesh",Wagon R,2006-2010 VXI Minor ABS,Petrol,2007,Manual,"78,000 km","₹ 1,00,000"
347,Maruti Suzuki,2nd,"Pittanherijia, Kotwali, Uttar Pradesh",Swift Dzire,Vdi BSIV,Diesel,2014,Manual,"90,000 km","₹ 3,25,000"
348,Maruti Suzuki,1st,"Tambaram East Mahalakshmi Nagar, Chennai, Tamil Nadu",Swift Dzire,VXI,Petrol,2016,Manual,"26,880 km","₹ 5,70,000"
349,Maruti Suzuki,3rd,"Banninagar, Sira, Karnataka",Swift Dzire,Ldi BSIV,Diesel,2012,Automatic,"130,000 km","₹ 3,60,000"
350,Ford,1st,"Model Town, Ludhiana, Punjab",Figo Aspire,1.5 TDCi Trend,Diesel,2015,Manual,"57,000 km","₹ 4,45,000"
351,Hyundai,2nd,"Janakpuri, Delhi, Delhi",Elite i20,Asta 1.4 CRDI,Petrol,2014,Manual,"37,000 km","₹ 4,65,000"
352,Hyundai,1st,"Shilphata, Navi Mumbai, Maharashtra",Creta,1.4 E Plus,Diesel,2018,Manual,"50,000 km","₹ 10,10,000"
353,Other Brands,1st,"Manikonda, Hyderabad, Telangana",Others,Others,CNG & Hybrids,2021,Automatic,"50,000 km","₹ 85,00,000"
354,Toyota,2nd,"Doverlim, Davorlim, Goa",Innova,2.5 G (Diesel) 7 Seater,Diesel,2008,Manual,"220,558 km","₹ 4,50,000"
355,Ford,2nd,"Allapuram, Vellore, Tamil Nadu",Figo,Titanium Blu Diesel,Diesel,2013,Manual,"60,123 km","₹ 3,65,000"
357,Maruti Suzuki,3rd,"Vidyakunj Colony, Ambajogai, Maharashtra",800,AC,Petrol,2001,Manual,"80,000 km","₹ 35,000"
358,BMW,2nd,"Sector 10, Chandigarh, Chandigarh",3 Series,320d Edition Sport,Diesel,2012,Automatic,"78,000 km","₹ 12,50,000"
359,Maruti Suzuki,1st,"Rohini, Delhi, Delhi",Wagon R 1.0,1.0 LXi,Petrol,2011,Manual,"51,423 km","₹ 1,81,000"
360,Hyundai,1st,"Madhapur, Hyderabad, Telangana",Elite i20,Asta 1.4 CRDI,Diesel,2018,Manual,"37,331 km","₹ 8,25,000"
362,Hyundai,1st,"Sector 82, Mohali, Punjab",i10,2007-2010 Magna 1.1,Petrol,2008,Manual,"78,000 km","₹ 1,51,000"
363,Honda,1st,"Darshan Vihar, Delhi, Delhi",City,2015-2017 i VTEC CVT SV,Petrol,2017,Manual,"24,000 km","₹ 7,50,000"
364,Maruti Suzuki,1st,"Santosh Nagar, Hyderabad, Telangana",Ertiga,2012-2015 VDI,Diesel,2015,Manual,"95,700 km","₹ 6,90,000"
366,Volkswagen,2nd,"Basant Nagar, Ludhiana, Punjab",Polo,1.5 TDI Comfortline,Diesel,2013,Automatic,"92,000 km","₹ 2,90,000"
367,Renault,2nd,"Hunginhal, Gadhinglaj, Maharashtra",Duster,85PS Diesel RxE,Diesel,2014,Manual,"158,000 km","₹ 5,00,000"
369,Maruti Suzuki,3rd,"Sakha, Bahraich, Uttar Pradesh",Alto,LXi,Petrol,2012,Automatic,"55,000 km","₹ 1,82,000"
371,Renault,2nd,"Thane West, Thane, Maharashtra",Duster,110 PS RxL ADVENTURE,Diesel,2014,Manual,"111,263 km","₹ 4,50,000"
372,Maruti Suzuki,1st,"Karnataka Telecom Circle, Talikota, Karnataka",Swift Dzire Tour,LDI,Diesel,2010,Automatic,"100,000 km","₹ 4,70,000"
373,Maruti Suzuki,2nd,"Jariguri Gaon, Tinsukia, Assam",Ertiga,2012-2015 ZDI,Diesel,2013,Automatic,"80,000 km","₹ 3,80,000"
374,Hyundai,2nd,"Banashankari, Bengaluru, Karnataka",i10,Magna,Petrol,2014,Manual,"27,000 km","₹ 3,75,000"
375,Hyundai,1st,"Ashok Vihar, Delhi, Delhi",Verna,VTVT 1.6 SX Option,Petrol,2019,Manual,"30,000 km","₹ 11,50,000"
376,Hyundai,2nd,"Jai Bajrang Nagar, Dewas, Madhya Pradesh",i20,2012-2014 Magna Optional 1.4 CRDi,Diesel,2014,Manual,"70,000 km","₹ 5,00,000"
377,Maruti Suzuki,1st,"Lower Tank Bund, Hyderabad, Telangana",Omni,8 Seater BSII,Petrol,2013,Manual,"56,080 km","₹ 1,95,000"
378,Chevrolet,2nd,"Thane West, Thane, Maharashtra",Enjoy,1.3 TCDi LT 7,Diesel,2013,Manual,"105,293 km","₹ 2,75,000"
379,Mahindra,2nd,"Krishi Colony, Faridpur, Uttar Pradesh",Others,Others,Diesel,2014,Automatic,"62,000 km","₹ 1,72,000"
380,Hyundai,1st,"Bavdhan, Pune, Maharashtra",i20,1.2 Spotz,Petrol,2015,Manual,"72,419 km","₹ 5,60,000"
382,BMW,2nd,"Kondanampatty, Salem, Tamil Nadu",3 Series,2011-2015 320d Sport Line,Diesel,2013,Automatic,"60,000 km","₹ 15,80,000"
383,Maruti Suzuki,1st,"RS Puram, Coimbatore, Tamil Nadu",Alto,LXi,Petrol,2007,Manual,"108,000 km","₹ 1,75,000"
384,Toyota,2nd,"Thane West, Thane, Maharashtra",Etios,2013-2014 V,Petrol,2013,Manual,"71,073 km","₹ 3,75,000"
385,Mahindra,1st,"Mira Road East, Mumbai, Maharashtra",XUV500,2011-2015 W8-2WD,Diesel,2013,Manual,"73,000 km","₹ 6,25,000"
386,Chevrolet,1st,"Pimpri Chinchwad, Pune, Maharashtra",Beat,2014-2016 Diesel LT,Diesel,2015,Manual,"45,000 km","₹ 2,99,000"
387,Maruti Suzuki,1st,"Vapi GIDC, Vapi, Gujarat",Ritz,VDi,Diesel,2015,Manual,"76,000 km","₹ 3,65,000"
388,Honda,1st,"Thane West, Thane, Maharashtra",City,i-VTEC V,Petrol,2015,Manual,"65,169 km","₹ 6,40,000"
393,Chevrolet,2nd,"Nehru Nagar, Jaipur, Rajasthan",Cruze,2014-2016 LTZ,Diesel,2014,Manual,"78,000 km","₹ 5,50,000"
395,Hyundai,2nd,"Vapi GIDC, Vapi, Gujarat",Santro,GLS I - Euro I,Petrol,2010,Manual,"105,000 km","₹ 1,35,000"
396,Maruti Suzuki,2nd,"Nehru Nagar, Jaipur, Rajasthan",Ritz,VDi,Diesel,2010,Manual,"80,000 km","₹ 2,30,000"
397,Mahindra,2nd,"Jahangirpura, Vadodara, Gujarat",Others,Others,Diesel,2013,Manual,"37,000 km","₹ 2,50,000"
398,BMW,1st,"Thane West, Thane, Maharashtra",5 Series,520d,Diesel,2017,Automatic,"27,585 km","₹ 35,00,000"
399,Maruti Suzuki,1st,"Darshan Vihar, Delhi, Delhi",Swift,VXI,Petrol,2013,Manual,"60,000 km","₹ 3,50,000"
401,Maruti Suzuki,1st,"Kalyan, Thane, Maharashtra",Swift,VDI,Diesel,2011,Manual,"45,170 km","₹ 4,51,000"
402,Maruti Suzuki,1st,"Sainikpuri, Hyderabad, Telangana",Ritz,ZXi,Petrol,2014,Manual,"65,402 km","₹ 4,00,000"
403,Volkswagen,1st,"Banashankari Stage 2, Bengaluru, Karnataka",Polo,1.2 MPI Comfortline,Petrol,2018,Manual,"26,000 km","₹ 7,25,000"
405,Maruti Suzuki,1st,"Mannarkad 2, Mannarkad I, Kerala",Vitara Brezza,ZDi,Diesel,2018,Manual,"57,188 km","₹ 9,00,000"
406,Maruti Suzuki,1st,"Mulund West, Mumbai, Maharashtra",Swift Dzire,LXI,Petrol,2011,Manual,"73,000 km","₹ 3,16,000"
407,Maruti Suzuki,1st,"Ghatkopar West, Mumbai, Maharashtra",Swift Dzire,LXI,Petrol,2011,Manual,"73,700 km","₹ 3,15,000"
408,BMW,2nd,"Mota Bazar, Anand, Gujarat",3 Series,2005-2011 320i,Petrol,2007,Automatic,"40,000 km","₹ 5,65,000"
409,Toyota,2nd,"Mota Bazar, Anand, Gujarat",Fortuner,2009-2011 3.0 Diesel,Diesel,2010,Manual,"140,000 km","₹ 7,90,000"
410,Toyota,1st,"Mota Bazar, Anand, Gujarat",Innova,2.5 V 8 STR,Diesel,2013,Manual,"155,000 km","₹ 7,90,000"
411,Tata,1st,"Banashnakari Outer Ring Road, Bengaluru, Karnataka",Nexon,1.5 Revotorq XZ Plus,Diesel,2020,Manual,"11,000 km","₹ 10,50,000"
412,Maruti Suzuki,1st,"Mansarovar, Jaipur, Rajasthan",Alto 800,2012-2016 VXI,Petrol,2017,Manual,"64,000 km","₹ 2,90,000"
413,Maruti Suzuki,1st,"Uppal, Hyderabad, Telangana",Vitara Brezza,ZDi Plus,Diesel,2018,Manual,"83,212 km","₹ 9,80,000"
414,Maruti Suzuki,1st,"Uppal, Hyderabad, Telangana",Swift,VDI,Diesel,2012,Manual,"102,712 km","₹ 4,30,000"
415,Maruti Suzuki,1st,"Old Bowenpally Sri Sai Enclave, Secunderabad, Telangana",Swift Dzire,ZDI,Diesel,2014,Manual,"92,000 km","₹ 5,55,000"
417,Maruti Suzuki,1st,"Teen Hath Naka, Thane, Maharashtra",Ciaz,ZDI BS IV,Diesel,2015,Manual,"53,000 km","₹ 6,95,000"
418,Maruti Suzuki,2nd,"Jalandhar Cantt, Jalandhar, Punjab",Alto,2005-2010 LXi BSIII,Petrol,2010,Manual,"39,000 km","₹ 1,95,000"
419,Mahindra,2nd,"Vayakal, Kollam, Kerala",Jeep,CJ 500 DI,Diesel,2002,Manual,"100,000 km","₹ 2,25,000"
420,Maruti Suzuki,2nd,"Dalle Khan Ki Tekri Chauraha, Jodhpur, Rajasthan",Wagon R,Duo LXi LPG,Petrol,2010,Manual,"60,000 km","₹ 2,15,000"
421,Maruti Suzuki,2nd,"Puthiyakavu, Karunagappally, Kerala",Baleno,1.2 CVT Delta,Petrol,2018,Automatic,"23,000 km","₹ 6,75,000"
422,Toyota,1st,"Tambaram, Chennai, Tamil Nadu",Innova,2.5 GX (Diesel) 7 Seater BS IV,Diesel,2015,Manual,"130,000 km","₹ 11,90,000"
423,Maruti Suzuki,1st,"Porur, Chennai, Tamil Nadu",Celerio,VXI AMT,Petrol,2016,Automatic,"11,000 km","₹ 4,80,000"
424,Hyundai,1st,"Porur, Chennai, Tamil Nadu",Xcent,SX 1.2,Petrol,2016,Manual,"52,000 km","₹ 5,35,000"
425,Maruti Suzuki,1st,"Chromepet New Colony, Chennai, Tamil Nadu",Swift,VXI,Petrol,2019,Manual,"11,000 km","₹ 6,40,000"
426,Mahindra,1st,"Navrangpura, Ahmedabad, Gujarat",Bolero Pik-Up,Others,Diesel,2017,Manual,"60,000 km","₹ 5,75,000"
428,Maruti Suzuki,1st,"Sholinganallur, Chennai, Tamil Nadu",S Cross,2015-2017 DDiS 320 Delta,Diesel,2016,Manual,"30,000 km","₹ 7,95,000"
429,Ford,2nd,"Sholinganallur, Chennai, Tamil Nadu",Ecosport,1.5 Diesel Titanium,Diesel,2017,Manual,"30,000 km","₹ 7,55,000"
430,Maruti Suzuki,1st,"Paradise Colony, Bengaluru, Karnataka",Alto K10,VXI AMT Optional,Petrol,2019,Automatic,"32,000 km","₹ 4,70,000"
432,Volkswagen,1st,"Coimbatore Central Railway Station, Coimbatore, Tamil Nadu",Vento,1.5 Highline Plus AT 16 Alloy,Petrol,2011,Automatic,"55,000 km","₹ 4,50,000"
433,Skoda,2nd,"Lokhandwala Complex, Mumbai, Maharashtra",Superb,2008-2013 Elegance 1.8 TSI AT,Petrol,2010,Automatic,"62,000 km","₹ 3,95,000"
434,Honda,1st,"Chitra Vihar, Delhi, Delhi",City,2011-2013 VTEC,Petrol,2012,Manual,"72,000 km","₹ 4,15,000"
435,Skoda,1st,"Lokhandwala Complex, Mumbai, Maharashtra",Rapid,1.5 TDI Style,Diesel,2017,Manual,"52,000 km","₹ 6,45,000"
436,Hyundai,1st,"Lajpat Nagar 1, Delhi, Delhi",Grand i10,2013-2016 Sportz,Petrol,2016,Manual,"48,000 km","₹ 4,65,000"
437,Mahindra,2nd,"Preet Vihar, Delhi, Delhi",KUV 100,K8 5Str,Petrol,2016,Manual,"55,000 km","₹ 3,90,000"
438,Hyundai,1st,"Lajpat Nagar 1, Delhi, Delhi",Elite i20,Sportz 1.2,Petrol,2017,Manual,"31,000 km","₹ 6,10,000"
439,Volkswagen,1st,"Hiranandani Estate, Thane, Maharashtra",Vento,1.5 TDI Highline AT,Diesel,2015,Automatic,"63,000 km","₹ 6,85,000"
441,Maruti Suzuki,1st,"MG Road, Gurgaon, Haryana",Alto 800,LXI,Petrol,2015,Manual,"14,291 km","₹ 2,16,700"
443,Ford,2nd,"South Extension, Delhi, Delhi",Ecosport,1.5 Diesel Titanium,Diesel,2016,Manual,"65,000 km","₹ 6,25,000"
445,Honda,1st,"Rajouri Garden, Delhi, Delhi",Amaze,VX i DTEC,Diesel,2013,Manual,"79,000 km","₹ 3,30,000"
446,Volkswagen,1st,"Rajouri Garden, Delhi, Delhi",Polo,1.2 MPI Comfortline,Petrol,2017,Manual,"42,000 km","₹ 4,95,000"
447,Ford,1st,"Rajouri Garden, Delhi, Delhi",Ecosport,1.5 Diesel Titanium,Diesel,2013,Manual,"57,000 km","₹ 4,30,000"
448,Mahindra,1st,"Govindpura, Delhi, Delhi",Thar,CRDE 4X4 BS IV,Diesel,2019,Manual,"12,000 km","₹ 9,75,000"
449,Renault,1st,"Gandhi Nagar, Delhi, Delhi",Duster,Petrol RXS,Petrol,2018,Automatic,"14,000 km","₹ 8,50,000"
450,Hyundai,2nd,"Dahisar East, Mumbai, Maharashtra",i10,2007-2010 Sportz 1.2 AT,CNG & Hybrids,2010,Automatic,"76,000 km","₹ 2,50,000"
451,Maruti Suzuki,1st,"Thane Belapur Road, Thane, Maharashtra",Wagon R,VXI,Petrol,2015,Manual,"39,999 km","₹ 3,80,000"
452,Toyota,1st,"Gandhi Nagar, Delhi, Delhi",Innova Crysta,2.7 GX MT 8S,Diesel,2018,Manual,"60,000 km","₹ 15,11,000"
453,Toyota,1st,"Gandhi Nagar, Delhi, Delhi",Innova Crysta,2.4 VX MT,Diesel,2019,Manual,"29,000 km","₹ 19,25,000"
454,Maruti Suzuki,1st,"Gandhi Nagar, Delhi, Delhi",Ertiga,2012-2015 ZDI,Diesel,2014,Manual,"70,000 km","₹ 5,45,000"
455,Maruti Suzuki,2nd,"Asraman, Kollam, Kerala",Wagon R,VXI,Petrol,2013,Manual,"44,580 km","₹ 3,30,000"
456,Honda,3rd,"Kurla West, Mumbai, Maharashtra",City ZX,GXi,Petrol,2008,Automatic,"58,000 km","₹ 2,50,000"
457,Maruti Suzuki,3rd,"Panacode, Thiruvananthapuram, Kerala",Alto,2000-2005 LXi BSII,Petrol,2008,Manual,"76,000 km","₹ 1,29,000"
