,brand,nod,location,model,varient,fuel,year,transmission,km,price
65,Toyota,2nd,"Andheri East, Mumbai, Maharashtra",Fortuner,2009-2011 3.0 Diesel,Diesel,2010,Manual,"134,000 km","₹ 9,45,000"
67,Hyundai,1st,"New Arya Nagar, Ghaziabad, Uttar Pradesh",i20,2012-2014 Magna,Diesel,2013,Manual,"65,000 km","₹ 3,30,000"
68,Hyundai,2nd,"Industrial Area, Chandigarh, Chandigarh",Elite i20,Sportz OPT 1.4,Diesel,2014,Manual,"74,000 km","₹ 5,30,000"
69,Skoda,1st,"Industrial Area, Chandigarh, Chandigarh",Octavia,2.0 TDI AT Style Plus,Diesel,2016,Automatic,"66,000 km","₹ 13,00,000"
71,Volkswagen,1st,"Preet Vihar, Delhi, Delhi",Polo,1.5 TDI Comfortline,Diesel,2015,Manual,"74,000 km","₹ 4,49,999"
72,Ford,2nd,"New Rajdhani Enclave, Delhi, Delhi",Ecosport,1.5 Diesel Ambiente,Diesel,2015,Manual,"52,000 km","₹ 5,75,000"
73,BMW,1st,"Sector 8C, Chandigarh, Chandigarh",3 Series,320d Sport,Diesel,2010,Automatic,"120,000 km","₹ 6,99,000"
74,Mahindra,1st,"Sector 8C, Chandigarh, Chandigarh",XUV500,W8 2WD,Diesel,2011,Manual,"75,000 km","₹ 5,40,000"
76,Mitsubishi,2nd,"Sector 8B, Chandigarh, Chandigarh",Montero,2009-2014 3.2 DI D MT,Diesel,2007,Manual,"115,000 km","₹ 7,80,000"
77,Maruti Suzuki,1st,"Sector 8B, Chandigarh, Chandigarh",Swift,2004-2010 1.3 VXi,Petrol,2014,Manual,"68,000 km","₹ 4,30,000"
78,Mahindra,2nd,"Nadakkavu, Kozhikode, Kerala",Scorpio,2002-2013 2.6 DX,Diesel,2007,Manual,"165,000 km","₹ 2,10,000"
79,Hyundai,1st,"Wakad, Pune, Maharashtra",i20,Magna Plus,Petrol,2014,Manual,"81,213 km","₹ 5,25,000"
80,Maruti Suzuki,1st,"Katedan, Hyderabad, Telangana",Alto 800,2012-2016 LX,Petrol,2014,Manual,"50,000 km","₹ 2,51,234"
81,Volkswagen,2nd,"Pallimukku, Kollam, Kerala",Vento,1.6 Comfortline,Diesel,2014,Manual,"72,000 km","₹ 5,40,000"
82,Mahindra,1st,"Gandhipuram, Coimbatore, Tamil Nadu",TUV 300 Plus,P8,Diesel,2018,Manual,"12,000 km","₹ 10,80,000"
83,Mercedes-Benz,1st,"Vijay Nagar, Indore, Madhya Pradesh",CLA,2015-2016 200 CDI Style,Diesel,2015,Automatic,"15,000 km","₹ 24,00,000"
84,Mahindra,1st,"Ushma Nagar, Mumbai, Maharashtra",XUV500,AT W8 FWD,Diesel,2012,Manual,"35,000 km","₹ 6,50,000"
85,Maruti Suzuki,1st,"Karkar Duma, Delhi, Delhi",Baleno,Zeta,Petrol,2016,Manual,"52,000 km","₹ 5,74,000"
86,Hyundai,1st,"Lower Parel, Mumbai, Maharashtra",Santro Xing,GLS,Petrol,2012,Manual,"38,000 km","₹ 2,25,000"
87,Maruti Suzuki,2nd,"Mulund West, Mumbai, Maharashtra",Eeco,5 STR With AC Plus HTR (CNG),CNG & Hybrids,2013,Manual,"69,000 km","₹ 2,80,000"
90,Hyundai,1st,"New Arya Nagar, Ghaziabad, Uttar Pradesh",i20,2012-2014 Magna,Diesel,2013,Manual,"65,000 km","₹ 3,30,000"
91,Hyundai,2nd,"Industrial Area, Chandigarh, Chandigarh",Elite i20,Sportz OPT 1.4,Diesel,2014,Manual,"74,000 km","₹ 5,30,000"
92,Skoda,1st,"Industrial Area, Chandigarh, Chandigarh",Octavia,2.0 TDI AT Style Plus,Diesel,2016,Automatic,"66,000 km","₹ 13,00,000"
93,Hyundai,1st,"Ganeshnagar, Karimnagar, Telangana",Santro Xing,GLS LPG,LPG,2013,Manual,"62,000 km","₹ 3,40,000"
94,Volkswagen,1st,"Preet Vihar, Delhi, Delhi",Polo,1.5 TDI Comfortline,Diesel,2015,Manual,"74,000 km","₹ 4,49,999"
95,Ford,2nd,"New Rajdhani Enclave, Delhi, Delhi",Ecosport,1.5 Diesel Ambiente,Diesel,2015,Manual,"52,000 km","₹ 5,75,000"
96,BMW,1st,"Sector 8C, Chandigarh, Chandigarh",3 Series,320d Sport,Diesel,2010,Automatic,"120,000 km","₹ 6,99,000"
99,Mitsubishi,2nd,"Sector 8B, Chandigarh, Chandigarh",Montero,2009-2014 3.2 DI D MT,Diesel,2007,Manual,"115,000 km","₹ 7,80,000"
100,Hyundai,1st,"Madhapur, Hyderabad, Telangana",Elite i20,Sportz 1.2,Petrol,2017,Manual,"45,347 km","₹ 6,90,000"
103,Maruti Suzuki,1st,"Nirman Nagar, Jaipur, Rajasthan",Swift,AMT VXI,Petrol,2019,Automatic,"28,041 km","₹ 6,60,000"
105,Ford,2nd,"Ganesh Colony, Aurangabad, Maharashtra",Figo,2010-2012 Diesel ZXI,Diesel,2010,Manual,"133,000 km","₹ 2,10,000"
106,Honda,1st,"Ashok Vihar, Delhi, Delhi",Jazz,1.2 S i VTEC,Petrol,2010,Manual,"32,000 km","₹ 2,75,000"
107,Hyundai,4th,"Chhavani, Kota, Rajasthan",EON,Magna,Petrol,2012,Manual,"98,000 km","₹ 1,85,000"
108,Hyundai,1st,"Darshan Vihar, Delhi, Delhi",Grand i10,2016-2017 Magna,Petrol,2018,Manual,"13,000 km","₹ 4,50,000"
109,Tata,3rd,"Pazhaiyur, Thirupuvanam Sivaganga District, Tamil Nadu",Indica V2 Xeta,1.4 GLS BSIII,Diesel,2010,Automatic,"150,000 km","₹ 75,000"
113,Ford,1st,"Sayaji Township Road, Vadodara, Gujarat",Figo Aspire,1.5 TDCi Titanium,Diesel,2018,Manual,"47,700 km","₹ 6,20,000"
114,Datsun,1st,"Mogappair West HIG Colony, Chennai, Tamil Nadu",GO,T Petrol,Petrol,2016,Manual,"40,000 km","₹ 3,20,000"
115,Maruti Suzuki,1st,"Prem Nagar, Ellenabad, Haryana",1000,AC,Diesel,2017,Manual,"250,000 km","₹ 2,50,000"
116,Maruti Suzuki,1st,"Nirman Vihar, Delhi, Delhi",Swift Dzire,LDI Optional,Diesel,2015,Manual,"60,000 km","₹ 4,00,000"
117,Maruti Suzuki,1st,"Ameerpet, Hyderabad, Telangana",Swift,VXI,Petrol,2020,Manual,"2,700 km","₹ 6,90,000"
118,Volkswagen,1st,"Connaught Place, Delhi, Delhi",Vento,Sport 1.2 TSI AT,Petrol,2011,Automatic,"64,254 km","₹ 3,49,000"
119,Honda,2nd,"Vashi, Navi Mumbai, Maharashtra",City,2008-2011 1.5 S MT,Petrol,2010,Manual,"67,000 km","₹ 2,69,000"
120,Mahindra,1st,"Gugai, Salem, Tamil Nadu",TUV 300,T10 Opt Dual Tone,Diesel,2017,Manual,"12,000 km","₹ 95,00,003"
121,Maruti Suzuki,1st,"Bandia Village, Ajmer, Rajasthan",Swift,VDI,Diesel,2017,Manual,"64,500 km","₹ 6,75,000"
122,Mini,1st,"Hindustan Aeronautics Limited, Lucknow, Uttar Pradesh",Cooper,S,Petrol,2017,Automatic,"28,900 km","₹ 36,00,000"
124,Ford,2nd,"Ganesh Colony, Aurangabad, Maharashtra",Figo,2010-2012 Diesel ZXI,Diesel,2010,Manual,"133,000 km","₹ 2,10,000"
125,Honda,1st,"Ashok Vihar, Delhi, Delhi",Jazz,1.2 S i VTEC,Petrol,2010,Manual,"32,000 km","₹ 2,75,000"
126,Hyundai,4th,"Chhavani, Kota, Rajasthan",EON,Magna,Petrol,2012,Manual,"98,000 km","₹ 1,85,000"
127,Hyundai,1st,"Darshan Vihar, Delhi, Delhi",Grand i10,2016-2017 Magna,Petrol,2018,Manual,"13,000 km","₹ 4,50,000"
128,Tata,3rd,"Pazhaiyur, Thirupuvanam Sivaganga District, Tamil Nadu",Indica V2 Xeta,1.4 GLS BSIII,Diesel,2010,Automatic,"150,000 km","₹ 75,000"
131,Maruti Suzuki,1st,"Kareepra, Kollam, Kerala",Alto,2005-2010 LX BSIII,Petrol,2008,Manual,"65,000 km","₹ 1,30,000"
132,Ford,1st,"Sayaji Township Road, Vadodara, Gujarat",Figo Aspire,1.5 TDCi Titanium,Diesel,2018,Manual,"47,700 km","₹ 6,20,000"
133,Datsun,1st,"Mogappair West HIG Colony, Chennai, Tamil Nadu",GO,T Petrol,Petrol,2016,Manual,"40,000 km","₹ 3,20,000"
134,Maruti Suzuki,1st,"Prem Nagar, Ellenabad, Haryana",1000,AC,Diesel,2017,Manual,"250,000 km","₹ 2,50,000"
135,Maruti Suzuki,1st,"Nirman Vihar, Delhi, Delhi",Swift Dzire,LDI Optional,Diesel,2015,Manual,"60,000 km","₹ 4,00,000"
136,Maruti Suzuki,1st,"Ameerpet, Hyderabad, Telangana",Swift,VXI,Petrol,2020,Manual,"2,700 km","₹ 6,90,000"
137,Volkswagen,1st,"Connaught Place, Delhi, Delhi",Vento,Sport 1.2 TSI AT,Petrol,2011,Automatic,"64,254 km","₹ 3,49,000"
138,Honda,2nd,"Vashi, Navi Mumbai, Maharashtra",City,2008-2011 1.5 S MT,Petrol,2010,Manual,"67,000 km","₹ 2,69,000"
139,Honda,1st,"Connaught Place, Delhi, Delhi",City,2014-2015 i VTEC VX Option,Petrol,2014,Manual,"49,267 km","₹ 6,49,000"
