,brand,nod,location,model,varient,fuel,year,transmission,km,price
2087,Maruti,1st Owner,Alwar,Alto 800,LXI,Petrol,2015,Manual,"50,485 Kms","3,03,512"
2088,Maruti,1st Owner,Kota,Baleno,1.2 Delta,Petrol,2016,Manual,"46,024 Kms","5,67,500"
2089,Maruti,1st Owner,Alwar,Alto 800,LXI,Petrol,2017,Manual,"11,708 Kms","3,43,530"
2090,Maruti,1st Owner,Jaipur,Celerio,ZXI Optional,Petrol,2016,Manual,"14,762 Kms","4,28,022"
2091,Maruti,1st Owner,Jaipur,S-Presso,STD,Petrol,2019,Manual,"1,577 Kms","3,51,000"
2092,Toyota,1st Owner,Jaipur,Etios Liva,GD SP,Diesel,2013,Manual,"103,561 Kms","3,91,000"
2093,Maruti,1st Owner,Jaipur,Vitara Brezza,ZDi Plus,Diesel,2019,Manual,"36,521 Kms","9,77,500"
2094,Hyundai,1st Owner,Jaipur,i20,1.2 Spotz,Petrol,2018,Manual,"17,723 Kms","6,39,588"
2095,Maruti,1st Owner,Jaipur,Ignis,1.2 Delta BSIV,Petrol,2018,Manual,"14,302 Kms","5,07,500"
2096,Maruti,1st Owner,Jaipur,Swift Dzire,VDI,Diesel,2015,Manual,"77,482 Kms","5,59,560"
2097,Skoda,1st Owner,Jaipur,Rapid,1.5 TDI Style BSIV,Diesel,2017,Manual,"71,258 Kms","7,37,805"
2098,Hyundai,1st Owner,Kota,Venue,SX Turbo,Petrol,2020,Manual,"8,364 Kms","10,39,400"
2099,Maruti,1st Owner,Jaipur,Alto K10,VXI,Petrol,2015,Manual,"13,428 Kms","3,53,600"
2100,Hyundai,1st Owner,Jaipur,Grand i10,1.2 Kappa Sportz BSIV,Petrol,2019,Manual,"8,098 Kms","6,12,010"
2101,Hyundai,2nd Owner,Jaipur,Grand i10,CRDi Sportz,Diesel,2016,Manual,"75,923 Kms","4,21,000"
2102,Renault,1st Owner,Jaipur,KWID,1.0,Petrol,2017,Manual,"23,635 Kms","3,31,000"
2103,Renault,1st Owner,Jaipur,KWID,RXT,Petrol,2017,Manual,"34,901 Kms","2,96,000"
2104,Maruti,1st Owner,Jaipur,Baleno,Alpha,Petrol,2020,Manual,"14,975 Kms","7,50,000"
