,brand,nod,location,model,varient,fuel,year,transmission,km,price
1433,Ford,2nd Owner,New-Delhi,Ecosport,1.5 Diesel Titanium Plus BSIV,Diesel,2018,Manual,"80,505 Kms","7,38,000"
1434,Renault,1st Owner,New-Delhi,Duster,110PS Diesel RxL AMT,Diesel,2016,Automatic,"72,273 Kms","6,38,500"
1435,Maruti,1st Owner,New-Delhi,Vitara Brezza,ZDi AMT,Diesel,2019,Automatic,"49,697 Kms","8,47,000"
1436,Maruti,1st Owner,New-Delhi,Ciaz,VDi,Diesel,2015,Manual,"78,667 Kms","4,70,000"
1437,Maruti,1st Owner,New-Delhi,Ciaz,VDi Plus SHVS,Diesel,2016,Manual,"62,233 Kms","5,54,500"
1438,Maruti,1st Owner,New-Delhi,Baleno,1.2 Zeta,Petrol,2017,Manual,"42,924 Kms","5,44,500"
1439,Toyota,1st Owner,New-Delhi,Etios,VD,Diesel,2014,Manual,"57,513 Kms","4,38,500"
1440,Maruti,1st Owner,New-Delhi,Ciaz,VXi,Petrol,2016,Manual,"24,540 Kms","6,92,500"
1441,Ford,2nd Owner,New-Delhi,Ecosport,1.5 DV5 MT Titanium Optional,Diesel,2013,Manual,"91,401 Kms","4,18,000"
1442,Tata,1st Owner,New-Delhi,Altroz,XZ,Petrol,2020,Manual,"7,914 Kms","7,01,000"
1443,Hyundai,1st Owner,New-Delhi,i20 Active,1.4 S,Diesel,2015,Manual,"43,455 Kms","4,71,000"
1444,Nissan,2nd Owner,New-Delhi,Terrano,XV 110 PS,Diesel,2014,Manual,"85,542 Kms","4,31,500"
1445,Maruti,1st Owner,Gurgaon,Ciaz,VXi,Petrol,2016,Manual,"75,968 Kms","5,63,500"
1457,Maruti,1st Owner,Gurgaon,Swift,AMT VXI,Petrol,2019,Automatic,"20,831 Kms","6,22,500"
1493,Hyundai,2nd Owner,Gurgaon,Santro,Sportz AMT,Petrol,2019,Automatic,"12,111 Kms","4,92,000"
1505,Toyota,1st Owner,Gurgaon,Corolla Altis,G MT,Petrol,2016,Manual,"48,348 Kms","9,27,500"
1506,Maruti,1st Owner,Gurgaon,Alto 800,LXI BSIV,Petrol,2020,Manual,"1,877 Kms","3,71,000"
1521,Hyundai,1st Owner,Gurgaon,Creta,1.6 CRDi SX Plus,Diesel,2015,Manual,"119,103 Kms","7,97,500"
1526,Maruti,1st Owner,Gurgaon,Alto K10,LXI Optional,Petrol,2017,Manual,"34,854 Kms","3,05,000"
1532,Maruti,1st Owner,Gurgaon,Celerio,VXI MT BSIV,Petrol,2018,Manual,"21,220 Kms","4,00,500"
1533,Renault,1st Owner,Gurgaon,KWID,RXL,Petrol,2019,Manual,"11,477 Kms","3,31,500"
1534,Maruti,1st Owner,Gurgaon,Wagon R,VXI,Petrol,2016,Manual,"52,509 Kms","3,45,000"
1535,Volkswagen,1st Owner,Gurgaon,Polo,1.0 MPI Highline Plus BSIV,Petrol,2019,Manual,"27,886 Kms","5,95,000"
1546,Honda,2nd Owner,Hyderabad,Jazz,V,Petrol,2015,Manual,"38,339 Kms","5,65,500"
1547,Maruti,1st Owner,Hyderabad,Celerio,ZXI Optional AMT BSIV,Petrol,2018,Automatic,"14,610 Kms","5,40,000"
1548,Hyundai,1st Owner,Hyderabad,Santro,Sportz BSIV,Petrol,2018,Manual,"23,849 Kms","4,67,000"
1549,Honda,1st Owner,Hyderabad,Amaze,VX i-DTEC,Diesel,2014,Manual,"104,292 Kms","4,70,500"
1550,Maruti,1st Owner,Hyderabad,Ciaz,Zeta,Petrol,2017,Manual,"15,018 Kms","7,03,000"
1551,Hyundai,1st Owner,Hyderabad,Grand i10,1.2 Kappa Asta,Petrol,2017,Manual,"25,760 Kms","5,88,000"
1552,Hyundai,1st Owner,Hyderabad,Verna,1.6 VTVT SX,Petrol,2016,Manual,"74,830 Kms","6,37,000"
1553,Maruti,1st Owner,Hyderabad,Ignis,Alpha,Petrol,2017,Manual,"19,957 Kms","5,73,500"
1554,Maruti,1st Owner,Hyderabad,Swift Dzire,VXI 1.2 BS IV,Petrol,2017,Manual,"38,463 Kms","6,33,500"
1555,Maruti,1st Owner,Hyderabad,Swift,VXI BSIV,Petrol,2019,Manual,"22,988 Kms","6,16,000"
